ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,,,,,,,,1088.03192881                    ,1126.42035791                    ,1090.23547033                    ,1167.35968469                    ,1193.85279914                    ,1321.47759509                    ,1335.59144857                    ,1576.02987047                    ,1662.80352556                    ,1712.58871978                    ,1899.2995585                    ,1875.73121037                    ,1856.05280246                    
ALB,Albania,3940.76213977                    ,4326.17578786                    ,3909.27936815                    ,4433.57222839                    ,4912.37735765                    ,5304.68315061                    ,5729.52938924                    ,5913.39206451                    ,6273.88524323                    ,6671.8701256                    ,7074.93341806                    ,7475.69735459                    ,7976.82642901                    ,8644.05966323                    ,8994.41113676                    ,9374.24972284                    ,9640.13021649                    ,9811.15010609                    ,9960.94072581                    ,10160.3366122                    
DZA,Algeria,9298.78537838                    ,9512.99401203                    ,9464.50306718                    ,9799.91651316                    ,9972.27347166                    ,10055.3416997                    ,10383.7338102                    ,10828.0934644                    ,11462.7763538                    ,11801.8129977                    ,12328.8147211                    ,12359.5416902                    ,12588.5495065                    ,12637.785265                    ,12625.7331619                    ,12850.0198265                    ,12964.8272134                    ,13134.2892378                    ,13238.0244946                    ,13515.9587737                    
AND,Andorra,,,,,,,,,,,,,,,,,,,,
AGO,Angola,2653.47408449                    ,2866.67042219                    ,3008.63556968                    ,3125.976936                    ,3135.69191991                    ,3132.18692578                    ,3158.64611225                    ,3473.1739265                    ,3528.03852034                    ,3775.23467599                    ,4310.7560054                    ,5028.16944648                    ,5957.75722679                    ,6555.96481444                    ,6492.35938694                    ,6492.17681528                    ,6524.48118084                    ,6636.03879875                    ,6856.80412028                    ,6895.14007091                    
ATG,Antigua and Barbuda,17167.1753222                    ,17829.5755059                    ,18186.2705329                    ,18482.7541043                    ,18780.1363156                    ,19318.718494                    ,18388.0908849                    ,18675.6049508                    ,19566.3293763                    ,20395.4825388                    ,21414.2296934                    ,24016.3111357                    ,26007.8246843                    ,25735.714754                    ,22388.9568647                    ,20567.359344                    ,19987.9241389                    ,20577.2921067                    ,20353.2908244                    ,20797.4966918                    
ARG,Argentina,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,2169.43102786                    ,2332.68056368                    ,2437.62935646                    ,2636.32474554                    ,2740.16961493                    ,2918.55768574                    ,3214.25718572                    ,3653.36514796                    ,4181.1853273                    ,4634.79778023                    ,5296.81412796                    ,6021.36400655                    ,6881.44465235                    ,7388.6266357                    ,6362.21471001                    ,6507.91440238                    ,6803.48299708                    ,7267.97652826                    ,7487.52933391                    ,7706.14733497                    
AUS,Australia,30358.8810097                    ,31145.3394332                    ,32013.3955357                    ,33085.2365711                    ,34346.2487107                    ,35253.3095442                    ,35451.9721854                    ,36374.8173373                    ,37035.0458836                    ,38129.8078216                    ,38840.2336752                    ,39416.0294501                    ,40643.4434754                    ,41311.9313901                    ,41170.0409835                    ,41330.0374557                    ,41705.9450796                    ,42521.7149862                    ,42840.3735523                    ,43218.7512448                    
AUT,Austria,33480.0056082                    ,34236.7081282                    ,34952.0087253                    ,36156.5808928                    ,37381.8068869                    ,38548.1647187                    ,38919.4932228                    ,39369.7794273                    ,39474.7096925                    ,40292.0339865                    ,40875.1530998                    ,42036.2980364                    ,43417.6678838                    ,43951.664378                    ,42171.2829972                    ,42860.9934063                    ,44028.7740444                    ,44215.8637213                    ,44058.584342                    ,43905.6881854                    
AZE,Azerbaijan,3319.76734895                    ,3329.13480416                    ,3488.41002548                    ,3801.00252072                    ,4046.60746728                    ,4458.99842303                    ,4862.61903093                    ,5338.07631839                    ,5891.13710834                    ,6435.44812947                    ,8051.67483806                    ,10711.1822716                    ,13243.2128559                    ,14364.9942337                    ,15393.8932908                    ,15950.2574579                    ,15754.1523626                    ,15888.2179951                    ,16593.18876                    ,16710.296641                    
BHS,Bahamas,22110.575807                    ,22748.7669863                    ,22960.9384066                    ,23788.0725895                    ,25182.0954088                    ,25846.7085719                    ,26066.2209037                    ,26248.9011117                    ,25376.2672424                    ,25062.0147668                    ,25385.3077789                    ,25515.9833655                    ,25396.6586355                    ,24356.1374961                    ,22931.7990675                    ,22894.2570639                    ,22665.1675571                    ,22814.5367129                    ,22490.2309491                    ,22411.0568419                    
BHR,Bahrain,43243.7108846                    ,43769.0547948                    ,43765.8271324                    ,44361.8022591                    ,44619.7286797                    ,45156.1435668                    ,44413.6220894                    ,44085.5836498                    ,44517.7382914                    ,44890.8848378                    ,44666.5525161                    ,43825.7093136                    ,43495.1054041                    ,42516.7178082                    ,40645.955689                    ,40237.6028216                    ,39676.7170222                    ,40251.1106034                    ,41901.5158732                    ,43387.9243667                    
BGD,Bangladesh,1441.02786802                    ,1474.34221661                    ,1508.28798964                    ,1553.73867434                    ,1593.75239662                    ,1645.71724193                    ,1697.0188739                    ,1730.34687282                    ,1781.34486886                    ,1844.81577553                    ,1936.70523682                    ,2038.68687477                    ,2156.48359922                    ,2260.57478068                    ,2348.4330594                    ,2451.30528455                    ,2579.33504809                    ,2714.77438646                    ,2843.23504427                    ,2980.71585654                    
BRB,Barbados,12502.011411                    ,12684.4806133                    ,13444.8603193                    ,13945.2602538                    ,14255.1547532                    ,14533.411266                    ,14118.4135882                    ,14171.8593789                    ,14409.9713553                    ,14572.0788335                    ,15103.4994594                    ,15905.769737                    ,16106.3109437                    ,16093.9177863                    ,15363.9144652                    ,15342.2522683                    ,15401.5496499                    ,15349.4816059                    ,12964.2764996                    ,12950.9684584                    
BLR,Belarus,5275.43147804                    ,5441.29187448                    ,6087.36259222                    ,6630.15776368                    ,6878.81081338                    ,7299.60427486                    ,7703.82270402                    ,8144.18159636                    ,8778.30132289                    ,9850.76192629                    ,10851.4558021                    ,12009.9311909                    ,13102.814829                    ,14487.7966584                    ,14548.8383312                    ,15703.1116907                    ,16603.3895299                    ,16906.9218949                    ,17084.8242569                    ,17348.7663921                    
BEL,Belgium,32773.5924229                    ,33216.9983762                    ,34377.1470592                    ,34992.0540621                    ,36209.2864321                    ,37404.0488583                    ,37620.1187993                    ,38035.9348961                    ,38214.0560244                    ,39355.9307558                    ,39881.3006445                    ,40661.1667424                    ,41574.7207262                    ,41640.8667565                    ,40225.4725026                    ,40764.1827075                    ,40945.9163747                    ,40687.4407971                    ,40606.7589095                    ,40884.8690357                    
BLZ,Belize,6208.58017189                    ,6099.47116151                    ,6089.59360822                    ,6079.26114231                    ,6371.37285551                    ,6960.76119001                    ,7089.80934611                    ,7247.68655643                    ,7719.80673491                    ,7875.17566568                    ,7873.04883867                    ,8022.16134472                    ,7902.86522793                    ,7951.23090253                    ,7809.99252611                    ,7876.78509409                    ,7857.22419793                    ,7975.69395693                    ,7921.26384675                    ,
BEN,Benin,1398.09582164                    ,1413.52860436                    ,1451.12823939                    ,1465.93100565                    ,1499.78841548                    ,1525.43287791                    ,1569.79958964                    ,1586.181542                    ,1593.82537937                    ,1590.21303659                    ,1583.88528475                    ,1592.45023119                    ,1615.62471757                    ,1646.37047519                    ,1641.2979027                    ,1636.55357948                    ,1643.37800567                    ,1685.45003106                    ,1733.51795603                    ,1778.9820164                    
BTN,Bhutan,2930.99170049                    ,3073.09167416                    ,3185.14650031                    ,3293.91305683                    ,3460.37835761                    ,3596.66105752                    ,3780.50966047                    ,4062.70230592                    ,4245.98953819                    ,4370.43544522                    ,4560.01362728                    ,4757.22906591                    ,5490.21496254                    ,5640.11935159                    ,5906.47213863                    ,6485.58849698                    ,6882.688407                    ,7120.27407742                    ,7160.65249684                    ,7505.48792765                    
BOL,"Bolivia, Plurinational State of",4104.86156891                    ,4200.22015611                    ,4322.3832255                    ,4451.87633533                    ,4385.39773084                    ,4410.85182706                    ,4402.3142922                    ,4429.89727044                    ,4468.88682219                    ,4573.71778082                    ,4693.42489417                    ,4834.88799099                    ,4970.8942352                    ,5189.44737415                    ,5276.33140274                    ,5405.74811541                    ,5595.18088896                    ,5792.54909383                    ,6089.17895774                    ,6319.526241                    
