ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.466                    ,0.468                    ,0.468                    
ALB,Albania,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.714                    ,0.716                    ,0.716                    
DZA,Algeria,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.717                    ,0.717                    
AND,Andorra,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    
AGO,Angola,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.524                    ,0.526                    ,0.526                    
ATG,Antigua and Barbuda,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.773                    ,0.774                    ,0.774                    
ARG,Argentina,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.806                    ,0.808                    ,0.808                    
ARM,Armenia,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.728                    ,0.73                    ,0.73                    
AUS,Australia,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.931                    ,0.933                    ,0.933                    
AUT,Austria,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.881                    ,0.881                    
AZE,Azerbaijan,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.745                    ,0.747                    ,0.747                    
BHS,Bahamas,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.788                    ,0.789                    ,0.789                    
BHR,Bahrain,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.815                    ,0.815                    
BGD,Bangladesh,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.554                    ,0.558                    ,0.558                    
BRB,Barbados,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    
BLR,Belarus,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.785                    ,0.786                    ,0.786                    
BEL,Belgium,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.88                    ,0.881                    ,0.881                    
BLZ,Belize,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.731                    ,0.732                    ,0.732                    
BEN,Benin,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.473                    ,0.476                    ,0.476                    
BTN,Bhutan,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.58                    ,0.584                    ,0.584                    
BOL,"Bolivia, Plurinational St",0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.663                    ,0.667                    ,0.667                    
BIH,Bosnia and Herzegovina,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.731                    ,0.731                    
BWA,Botswana,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.683                    ,0.683                    
BRA,Brazil,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.744                    ,0.744                    
BRN,Brunei Darussalam,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    
BGR,Bulgaria,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.777                    ,0.777                    
BFA,Burkina Faso,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.388                    ,0.388                    
BDI,Burundi,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.389                    ,0.389                    
KHM,Cambodia,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.584                    ,0.584                    
CMR,Cameroon,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.504                    ,0.504                    
CAN,Canada,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.902                    ,0.902                    
CPV,Cape Verde,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.636                    ,0.636                    
CAF,Central African Republic,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.341                    ,0.341                    
