ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanista,,,,,,,,1.65     ,1.65     ,1.65     ,1.65     ,1.65     ,1.65     ,1.65     ,2.19     ,2.19     ,2.19     ,2.19     ,,
ALB,Albania,,,,,,,,42.42     ,42.42     ,58.55     ,53.24     ,58.55     ,58.55     ,58.79     ,58.79     ,58.79     ,58.79     ,58.79     ,,
DZA,Algeria,,,,,,,,37.12     ,37.12     ,37.12     ,37.12     ,37.12     ,37.12     ,37.12     ,37.12     ,37.12     ,37.12     ,37.12     ,,
AND,Andorra,,,,,,,,,,,,,,,,,,33.62     ,,
AGO,Angola,,,,,,,,65.54     ,65.54     ,65.54     ,65.54     ,65.54     ,65.54     ,65.54     ,65.54     ,65.54     ,65.54     ,65.54     ,,
ATG,Antigua an,,,,,,,,35.01     ,35.01     ,38.0     ,38.0     ,38.0     ,38.0     ,38.0     ,38.0     ,38.0     ,38.0     ,38.0     ,,
ARG,Argentina,,,,,,,,29.1     ,29.1     ,29.1     ,29.1     ,29.1     ,29.1     ,29.1     ,29.1     ,29.1     ,29.1     ,29.1     ,,
ARM,Armenia,,,,,,,,73.14     ,73.14     ,73.14     ,73.14     ,73.14     ,73.14     ,73.14     ,73.14     ,73.14     ,73.14     ,73.14     ,,
AUS,Australia,,,,,,,,59.09     ,59.64     ,61.79     ,60.88     ,61.79     ,66.41     ,67.28     ,70.09     ,72.04     ,72.06     ,72.06     ,,
AUT,Austria,,,,,,,,86.59     ,86.59     ,86.59     ,86.59     ,86.59     ,86.59     ,86.59     ,86.59     ,86.59     ,86.59     ,86.59     ,,
AZE,Azerbaijan,,,,,,,,55.4     ,55.89     ,58.66     ,58.66     ,58.66     ,58.66     ,58.66     ,58.66     ,58.66     ,58.66     ,58.66     ,,
BHS,Bahamas,,,,,,,,79.55     ,79.55     ,79.55     ,79.55     ,79.55     ,79.55     ,79.55     ,79.55     ,79.55     ,79.55     ,79.55     ,,
BHR,Bahrain,,,,,,,,7.48     ,7.48     ,7.48     ,7.48     ,7.48     ,7.48     ,7.48     ,7.48     ,7.48     ,7.48     ,7.48     ,,
BGD,Bangladesh,,,,,,,,10.71     ,10.71     ,10.76     ,10.73     ,10.76     ,10.82     ,10.82     ,10.82     ,11.26     ,11.26     ,11.26     ,,
BRB,Barbados,,,,,,,,0.54     ,0.54     ,0.54     ,0.54     ,0.54     ,0.54     ,0.54     ,0.54     ,0.54     ,0.54     ,0.54     ,,
BLR,Belarus,,,,,,,,41.25     ,41.25     ,41.25     ,41.25     ,41.25     ,41.25     ,41.25     ,41.25     ,41.25     ,41.25     ,41.25     ,,
BEL,Belgium,,,,,,,,75.49     ,85.88     ,86.22     ,86.17     ,86.22     ,86.26     ,86.32     ,86.33     ,86.34     ,86.34     ,86.34     ,,
BLZ,Belize,,,,,,,,99.65     ,99.65     ,99.65     ,99.65     ,99.65     ,99.76     ,99.76     ,99.76     ,99.93     ,99.93     ,99.93     ,,
BEN,Benin,,,,,,,,98.86     ,98.86     ,98.86     ,98.86     ,98.86     ,98.86     ,98.86     ,98.86     ,98.86     ,98.86     ,98.86     ,,
BTN,Bhutan,,,,,,,,94.92     ,94.92     ,94.92     ,94.92     ,94.92     ,94.92     ,94.92     ,94.92     ,94.92     ,94.92     ,94.92     ,,
BOL,"Bolivia, P",,,,,,,,94.43     ,94.43     ,95.73     ,95.73     ,95.73     ,95.73     ,95.73     ,95.73     ,95.73     ,95.73     ,95.73     ,,
BIH,Bosnia and,,,,,,,,2.24     ,2.42     ,2.5     ,2.5     ,2.5     ,2.5     ,2.5     ,2.5     ,2.5     ,2.5     ,2.5     ,,
BWA,Botswana,,,,,,,,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,,
BRA,Brazil,,,,,,,,80.48     ,80.54     ,81.94     ,80.74     ,81.94     ,81.98     ,82.23     ,82.35     ,82.4     ,82.4     ,82.4     ,,
BRN,Brunei Dar,,,,,,,,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,,
BGR,Bulgaria,,,,,,,,99.84     ,99.84     ,99.86     ,99.86     ,99.86     ,99.86     ,100.0     ,100.0     ,100.0     ,100.0     ,100.0     ,,
BFA,Burkina Fa,,,,,,,,81.41     ,83.75     ,83.75     ,83.75     ,83.75     ,83.75     ,83.75     ,83.75     ,83.75     ,83.75     ,83.75     ,,
BDI,Burundi,,,,,,,,30.29     ,30.29     ,30.29     ,30.29     ,30.29     ,30.29     ,30.29     ,30.29     ,30.29     ,30.29     ,30.29     ,,
