ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,80.243,79.945,79.644,79.339,79.03,78.718,78.404,78.085,77.763,77.438,77.105,76.763,76.413,76.054,75.687,75.311,74.926,74.532,74.129,73.718
ALB,Albania,61.089,60.527,59.965,59.399,58.831,58.259,57.565,56.499,55.427,54.349,53.269,52.185,51.098,50.009,48.924,47.837,46.753,45.67,44.617,43.591
DZA,Algeria,44.003,43.226,42.456,41.687,40.882,40.081,39.288,38.499,37.716,36.939,36.17,35.407,34.652,33.903,33.178,32.474,31.791,31.13,30.49,29.871
AND,Andorra,6.339,6.575,6.81999999999999,7.07299999999999,7.334,7.605,7.944,8.35899999999999,8.79300000000001,9.249,9.705,10.162,10.637,11.133,11.648,12.183,12.74,13.292,13.835,14.367
AGO,Angola,71.12,70.43,69.732,69.025,68.308,67.581,66.848,66.105,65.355,64.595,63.831,63.058,62.278,61.491,60.701,59.903,59.1,58.301,57.51,56.726
ATG,Antigua and Barbuda,66.039,66.41,66.779,67.145,67.51,67.873,68.26,68.901,69.535,70.163,70.781,71.393,71.997,72.594,73.181,73.761,74.333,74.865,75.357,75.81
ARG,Argentina,11.836,11.634,11.436,11.241,11.048,10.858,10.671,10.481,10.29,10.101,9.916,9.73399999999999,9.55500000000001,9.378,9.205,9.03400000000001,8.867,8.705,8.548,8.396
ARM,Armenia,33.943,34.219,34.496,34.774,35.053,35.334,35.615,35.717,35.75,35.783,35.816,35.85,35.883,36.003,36.211,36.42,36.629,36.839,37.025,37.188
AUS,Australia,13.894,13.717,13.496,13.273,13.053,12.835,12.622,12.459,12.305,12.151,12,11.85,11.702,11.555,11.41,11.267,11.125,10.985,10.847,10.711
AUT,Austria,34.2,34.2,34.2,34.2,34.2,34.2,34.199,34.194,34.188,34.182,34.176,34.171,34.165,34.159,34.153,34.148,34.142,34.136,34.116,34.081
AZE,Azerbaijan,47.794,48.104,48.412,48.722,48.815,48.614,48.413,48.213,48.012,47.811,47.611,47.411,47.21,47.01,46.81,46.599,46.377,46.144,45.9,45.645
BHS,Bahamas,19.039,18.82,18.604,18.389,18.176,17.991,17.936,17.882,17.828,17.774,17.72,17.666,17.612,17.558,17.505,17.451,17.394,17.333,17.268,17.199
BHR,Bahrain,11.612,11.615,11.618,11.621,11.624,11.628,11.631,11.63,11.624,11.614,11.6,11.581,11.559,11.532,11.5,11.465,11.425,11.381,11.333,11.281
BGD,Bangladesh,78.307,77.936,77.562,77.182,76.798,76.41,75.904,75.244,74.571,73.886,73.191,72.483,71.763,71.032,70.291,69.538,68.775,68.01,67.247,66.484
BRB,Barbados,66.738,66.614,66.491,66.367,66.244,66.17,66.349,66.528,66.706,66.884,67.061,67.238,67.414,67.59,67.765,67.94,68.095,68.231,68.348,68.446
BLR,Belarus,32.074,31.692,31.313,30.936,30.518,30.027,29.542,29.061,28.585,28.113,27.646,27.184,26.727,26.274,25.828,25.385,24.954,24.533,24.123,23.723
BEL,Belgium,3.223,3.149,3.07599999999999,3.004,2.935,2.872,2.816,2.761,2.708,2.655,2.60299999999999,2.55200000000001,2.503,2.45399999999999,2.40600000000001,2.35899999999999,2.313,2.268,2.224,2.182
BLZ,Belize,52.516,52.472,52.427,52.383,52.338,52.337,52.608,52.878,53.149,53.42,53.689,53.959,54.229,54.499,54.768,55.037,55.282,55.504,55.702,55.876
BEN,Benin,63.242,62.929,62.615,62.301,61.985,61.667,61.35,61.031,60.703,60.365,60.018,59.662,59.297,58.922,58.539,58.146,57.744,57.333,56.914,56.486
BTN,Bhutan,79.463,78.544,77.599,76.623,75.617,74.582,73.52,72.43,71.312,70.165,69.035,68.288,67.531,66.764,65.99,65.207,64.415,63.632,62.861,62.102
BOL,"Bolivia, Plurinational State of",40.6,40.109,39.62,39.134,38.649,38.166,37.687,37.209,36.736,36.268,35.806,35.348,34.896,34.45,34.009,33.574,33.145,32.721,32.304,31.893
BIH,Bosnia and Herzegovina,60.589,60.61,60.631,60.652,60.673,60.694,60.715,60.736,60.756,60.777,60.798,60.819,60.84,60.839,60.817,60.774,60.709,60.622,60.514,60.384
BWA,Botswana,51.019,50.17,49.323,48.475,47.628,46.781,45.938,45.626,45.393,45.159,44.927,44.694,44.461,44.228,43.996,43.765,43.533,43.301,43.062,42.813
BRA,Brazil,22.39,21.698,20.952,20.219,19.504,18.808,18.447,18.12,17.797,17.479,17.166,16.857,16.552,16.251,15.956,15.665,15.377,15.099,14.829,14.567
BRN,Brunei Darussalam,31.356,30.842,30.334,29.83,29.331,28.836,28.348,27.864,27.394,26.939,26.497,26.069,25.655,25.254,24.866,24.49,24.128,23.777,23.439,23.113
BGR,Bulgaria,32.218,31.993,31.769,31.546,31.323,31.101,30.834,30.476,30.121,29.767,29.416,29.068,28.722,28.378,28.037,27.698,27.362,27.029,26.7,26.374
BFA,Burkina Faso,84.869,84.593,84.125,83.49,82.834,82.156,81.46,80.742,80.004,79.243,78.463,77.661,76.837,76.007,75.172,74.335,73.495,72.654,71.814,70.976
BDI,Burundi,92.789,92.588,92.382,92.17,91.964,91.754,91.539,91.318,91.092,90.861,90.625,90.383,90.136,89.882,89.624,89.359,89.088,88.811,88.528,88.239
KHM,Cambodia,82.689,82.317,81.94,81.645,81.53,81.414,81.297,81.18,81.063,80.945,80.826,80.707,80.587,80.467,80.334,80.19,80.033,79.863,79.681,79.486
CMR,Cameroon,57.427,56.836,56.245,55.652,55.056,54.458,53.861,53.262,52.662,52.06,51.459,50.857,50.259,49.663,49.072,48.484,47.901,47.323,46.75,46.181
