ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.022029042244                    ,0.0577412605286                    ,0.0474405765533                    ,0.040903711319                    ,0.0823156356812                    ,0.0537811279297                    ,0.0207425117493                    ,0.0                    ,0.0                    ,0.0                    ,0.00337495803833                    ,0.0215166091919                    ,0.0                    ,0.00838661193848                    
ALB,Albania,0.413687556982                    ,0.413687556982                    ,0.390806671977                    ,0.367925786972                    ,0.369295799732                    ,0.370665812492                    ,0.396602272987                    ,0.422538733482                    ,0.433893978596                    ,0.410042196512                    ,0.401274514198                    ,0.402982932329                    ,0.460371419787                    ,0.493376653641                    ,0.489753489196                    ,0.461737152934                    ,0.442288851738                    ,0.468391227722                    ,0.510989441723                    ,0.594650954008                    
DZA,Algeria,0.128086447716                    ,0.128086447716                    ,0.117892336845                    ,0.107698225975                    ,0.153458046913                    ,0.199217867851                    ,0.179825603962                    ,0.160433340073                    ,0.144386816025                    ,0.225695967674                    ,0.314114499092                    ,0.276088762283                    ,0.274930477142                    ,0.281430721283                    ,0.256954073906                    ,0.247501826286                    ,0.227068042755                    ,0.236286783218                    ,0.263192343712                    ,0.265716314316                    
AND,Andorra,0.721394371986                    ,0.721394371986                    ,0.72212703228                    ,0.722859692574                    ,0.721889936924                    ,0.720920181274                    ,0.731956911087                    ,0.7429936409                    ,0.792417430878                    ,0.786778640747                    ,0.783369970322                    ,0.780401182175                    ,0.776916265488                    ,0.775514316559                    ,0.763395357132                    ,0.761296916008                    ,0.767626166344                    ,0.764717721939                    ,0.764414644241                    ,0.766319346428                    
AGO,Angola,0.0788905620575                    ,0.0788905620575                    ,0.0549246788025                    ,0.0309587955475                    ,0.0569333314896                    ,0.0829078674316                    ,0.129936015606                    ,0.17696416378                    ,0.29458129406                    ,0.292158508301                    ,0.321213614941                    ,0.391818547249                    ,0.360679852962                    ,0.430007696152                    ,0.426039212942                    ,0.456735026836                    ,0.427935558558                    ,0.423815655708                    ,0.422909712791                    ,0.445330280066                    
ATG,Antigua and Barbuda,0.629383218288                    ,0.629383218288                    ,0.629904526472                    ,0.630425834656                    ,0.62958894968                    ,0.628752064705                    ,0.636178481579                    ,0.643604898453                    ,0.670736038685                    ,0.72920563221                    ,0.670616769791                    ,0.668040263653                    ,0.666546750069                    ,0.668956792355                    ,0.649101829529                    ,0.686387872696                    ,0.695940577984                    ,0.698753321171                    ,0.695231151581                    ,0.691472125053                    
ARG,Argentina,0.504652139544                    ,0.504652139544                    ,0.484157982469                    ,0.463663825393                    ,0.48665592894                    ,0.509648032486                    ,0.41899927035                    ,0.328350508213                    ,0.42391731739                    ,0.385852181911                    ,0.497225039639                    ,0.50346580781                    ,0.524531526864                    ,0.48539109081                    ,0.452975100279                    ,0.482550403476                    ,0.527885043621                    ,0.516762568057                    ,0.509078583866                    ,0.515050400794                    
ARM,Armenia,0.396004509926                    ,0.396004509926                    ,0.371813619137                    ,0.347622728348                    ,0.343515974283                    ,0.339409220219                    ,0.383647331595                    ,0.427885442972                    ,0.541273736954                    ,0.475447373092                    ,0.48756416291                    ,0.444113212824                    ,0.522067020833                    ,0.49674908258                    ,0.54596683383                    ,0.505491906777                    ,0.482213202119                    ,0.522952468693                    ,0.513678735495                    ,0.458912548423                    
AUS,Australia,0.766684484482                    ,0.766684484482                    ,0.734001660347                    ,0.701318836212                    ,0.726689982414                    ,0.752061128616                    ,0.737219786644                    ,0.722378444672                    ,0.669989109039                    ,0.683937335014                    ,0.675687456131                    ,0.683605289459                    ,0.685557043552                    ,0.690052437782                    ,0.665393149853                    ,0.674278223515                    ,0.685952496529                    ,0.699001479149                    ,0.703378891945                    ,0.716341400146                    
AUT,Austria,0.76622543335                    ,0.76622543335                    ,0.740082526207                    ,0.713939619064                    ,0.686364603043                    ,0.658789587021                    ,0.707716417313                    ,0.756643247604                    ,0.689749240875                    ,0.714916062355                    ,0.720935297012                    ,0.715842843056                    ,0.755684924126                    ,0.767970895767                    ,0.733197689056                    ,0.724744200706                    ,0.735729861259                    ,0.764655137062                    ,0.768375635147                    ,0.758826899529                    
