ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,0.61                    ,0.61                    ,0.61                    ,0.629                    ,0.648                    ,0.667                    ,0.686                    ,0.6895                    ,0.693                    ,0.6965                    ,0.7                    ,0.6988                    ,0.6976                    ,0.6964                    ,0.6952                    ,0.267                    ,0.307                    ,0.323                    ,0.339                    ,0.339                    
ALB,Albania,5.356                    ,5.404                    ,5.345                    ,5.339                    ,5.332                    ,5.439                    ,5.397                    ,5.355                    ,5.31625                    ,5.2775                    ,5.23875                    ,5.2                    ,5.176                    ,5.11133333333                    ,5.04666666667                    ,5.049                    ,5.056                    ,5.135                    ,4.991                    ,4.991                    
DZA,Algeria,3.076                    ,3.12733333333                    ,3.17866666667                    ,3.23                    ,3.2625                    ,3.295                    ,3.3275                    ,3.36                    ,3.3188                    ,3.2776                    ,3.2364                    ,3.1952                    ,3.154                    ,3.154                    ,3.154                    ,3.154                    ,3.154                    ,3.154                    ,3.154                    ,3.154                    
AND,Andorra,6.101                    ,6.203                    ,6.305                    ,6.34                    ,6.464                    ,6.419                    ,6.464                    ,7.0155                    ,7.567                    ,7.548                    ,7.529                    ,7.51                    ,7.896                    ,8.191                    ,8.486                    ,8.765                    ,8.765                    ,8.765                    ,8.765                    ,8.765                    
AGO,Angola,1.427                    ,1.427                    ,1.427                    ,1.42742857143                    ,1.42785714286                    ,1.42828571429                    ,1.42871428571                    ,1.42914285714                    ,1.42957142857                    ,1.43                    ,1.5092                    ,1.5884                    ,1.6676                    ,1.7468                    ,1.826                    ,1.826                    ,1.826                    ,1.826                    ,1.826                    ,1.826                    
ATG,Antigua and Barbuda,4.042                    ,4.423                    ,4.099                    ,3.775                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    ,3.451                    
ARG,Argentina,3.48                    ,3.59                    ,3.7                    ,3.81                    ,3.781                    ,3.752                    ,3.723                    ,3.694                    ,3.665                    ,3.636                    ,3.691                    ,3.691                    ,3.691                    ,3.691                    ,3.691                    ,3.691                    ,3.90733333333                    ,4.12366666667                    ,4.34                    ,4.34                    
ARM,Armenia,7.962                    ,8.511                    ,8.076                    ,8.076                    ,7.971                    ,7.907                    ,8.446                    ,8.477                    ,8.508                    ,8.54533333333                    ,8.58266666667                    ,8.62                    ,8.567                    ,8.57133333333                    ,8.57566666667                    ,8.58                    ,7.761                    ,7.593                    ,7.532                    ,7.532                    
AUS,Australia,12.11                    ,12.11                    ,12.11                    ,12.11                    ,12.11                    ,12.21                    ,12.18                    ,12.4494                    ,12.30455                    ,12.1597                    ,12.01485                    ,11.87                    ,12.1526666667                    ,12.4353333333                    ,12.718                    ,13.44                    ,13.921                    ,13.921                    ,13.921                    ,13.921                    
AUT,Austria,12.084                    ,12.184                    ,12.284                    ,12.484                    ,12.484                    ,12.584                    ,12.684                    ,12.684                    ,12.762                    ,11.9113333333                    ,11.0606666667                    ,10.21                    ,10.436                    ,11.99                    ,12.4085                    ,12.827                    ,12.744                    ,12.744                    ,12.744                    ,12.744                    
AZE,Azerbaijan,12.335                    ,12.309                    ,12.241                    ,12.012                    ,11.931                    ,12.017                    ,11.946                    ,11.9515                    ,11.957                    ,11.9846666667                    ,12.0123333333                    ,12.04                    ,12.214                    ,12.1846666667                    ,12.1553333333                    ,12.126                    ,10.219                    ,10.119                    ,9.941                    ,9.941                    
BHS,Bahamas,5.96                    ,5.988                    ,5.754                    ,5.52                    ,5.6638                    ,5.8076                    ,5.9514                    ,6.0952                    ,6.239                    ,6.3828                    ,6.5266                    ,6.6704                    ,6.8142                    ,6.958                    ,6.958                    ,6.958                    ,6.958                    ,6.958                    ,6.958                    ,6.958                    
BHR,Bahrain,7.07                    ,7.07                    ,7.07                    ,7.219                    ,7.368                    ,7.517                    ,7.666                    ,7.49633333333                    ,7.32666666667                    ,7.157                    ,8.79                    ,8.7765                    ,8.763                    ,5.175                    ,5.261                    ,5.347                    ,3.325                    ,3.286                    ,3.286                    ,3.286                    
BGD,Bangladesh,0.481                    ,0.4805                    ,0.48                    ,0.48775                    ,0.4955                    ,0.50325                    ,0.511                    ,0.519666666667                    ,0.528333333333                    ,0.537                    ,0.58                    ,0.5735                    ,0.567                    ,0.567                    ,0.567                    ,0.567                    ,0.574                    ,0.574                    ,0.574                    ,0.574                    
BRB,Barbados,4.98                    ,4.9625                    ,4.945                    ,4.9275                    ,4.91                    ,5.20283333333                    ,5.49566666667                    ,5.7885                    ,6.08133333333                    ,6.37416666667                    ,6.667                    ,6.667                    ,6.667                    ,6.667                    ,6.667                    ,6.667                    ,6.667                    ,6.667                    ,6.667                    ,6.667                    
BLR,Belarus,16.665                    ,16.796                    ,16.875                    ,16.941                    ,17.061                    ,17.089                    ,17.007                    ,17.0358925505                    ,17.06                    ,17.1324018122                    ,17.19                    ,17.29                    ,17.429                    ,17.7233333333                    ,18.0056666667                    ,18.288                    ,14.285                    ,14.424                    ,14.563                    ,14.563                    
BEL,Belgium,17.7                    ,17.8                    ,17.9                    ,17.9                    ,18.0                    ,18.1                    ,18.1                    ,18.1                    ,18.1825                    ,18.265                    ,18.6115                    ,18.958                    ,18.6005                    ,18.243                    ,18.9045                    ,19.566                    ,19.1036666667                    ,20.3773333333                    ,21.651                    ,21.651                    
BLZ,Belize,1.86                    ,1.808                    ,1.9335                    ,2.059                    ,2.1845                    ,2.31                    ,2.363                    ,2.416                    ,2.469                    ,2.522                    ,2.575                    ,2.628                    ,2.681                    ,2.734                    ,2.787                    ,2.787                    ,2.787                    ,2.787                    ,2.787                    ,2.787                    
BEN,Benin,0.898                    ,0.896                    ,0.894                    ,0.892                    ,0.89                    ,0.888                    ,0.886                    ,0.884                    ,0.882                    ,0.88                    ,0.8675                    ,0.855                    ,0.8425                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    ,0.83                    
BTN,Bhutan,0.4011                    ,0.37385                    ,0.3466                    ,0.31935                    ,0.2921                    ,0.2921                    ,0.2921                    ,0.2921                    ,0.2921                    ,0.2921                    ,0.282766666667                    ,0.273433333333                    ,0.2641                    ,0.362                    ,0.31305                    ,0.2641                    ,0.75205                    ,1.24                    ,1.24                    ,1.24                    
BOL,"Bolivia, Plurinational State of",2.473                    ,2.9525                    ,3.432                    ,3.41175                    ,3.3915                    ,3.37125                    ,3.351                    ,3.1637                    ,2.9764                    ,2.7891                    ,2.6018                    ,2.4145                    ,2.2272                    ,2.0399                    ,1.8526                    ,1.6653                    ,1.478                    ,1.478                    ,1.478                    ,1.478                    
BIH,Bosnia and Herzegovina,6.117                    ,6.117                    ,6.117                    ,6.117                    ,6.091                    ,6.112                    ,6.028                    ,6.029                    ,6.03                    ,6.06895                    ,6.1079                    ,6.25852                    ,6.40914                    ,6.55976                    ,6.71038                    ,6.861                    ,7.08233333333                    ,7.30366666667                    ,7.525                    ,7.525                    
BWA,Botswana,2.938                    ,2.938                    ,2.938                    ,2.938                    ,2.938                    ,2.9604                    ,2.9828                    ,3.0052                    ,3.0276                    ,3.05                    ,3.115                    ,3.18                    ,3.36833333333                    ,3.55666666667                    ,3.745                    ,3.18                    ,3.18                    ,3.18                    ,3.18                    ,3.18                    
