ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,37.45584                    ,37.45584                    ,37.45584                    ,37.45584                    ,37.45584                    ,37.45584                    ,37.810256                    ,38.164672                    ,38.519088                    ,38.873504                    ,39.22792                    ,39.582336                    ,39.936752                    ,40.291168                    ,40.645584                    ,41.0                    ,42.0                    ,43.0                    ,43.0                    ,43.0                    
ALB,Albania,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    
DZA,Algeria,98.0                    ,98.0                    ,98.0                    ,98.0                    ,98.0                    ,98.0                    ,98.13                    ,98.26                    ,98.39                    ,98.52                    ,98.65                    ,98.78                    ,98.91                    ,99.04                    ,99.17                    ,99.3                    ,99.65                    ,100.0                    ,100.0                    ,100.0                    
AND,Andorra,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    
AGO,Angola,31.05585                    ,31.05585                    ,31.05585                    ,31.05585                    ,31.05585                    ,31.05585                    ,31.410265                    ,31.76468                    ,32.119095                    ,32.47351                    ,32.827925                    ,33.18234                    ,33.536755                    ,33.89117                    ,34.245585                    ,34.6                    ,35.8                    ,37.0                    ,37.0                    ,37.0                    
ATG,Antigua and Barbuda,85.4112                    ,85.4112                    ,85.4112                    ,85.4112                    ,85.4112                    ,85.4112                    ,85.657408                    ,85.903616                    ,86.149824                    ,86.396032                    ,86.64224                    ,86.888448                    ,87.134656                    ,87.380864                    ,87.627072                    ,87.87328                    ,89.37436                    ,90.87544                    ,90.87544                    ,90.87544                    
ARG,Argentina,92.34713                    ,92.34713                    ,92.34713                    ,92.34713                    ,92.34713                    ,92.34713                    ,92.512417                    ,92.677704                    ,92.842991                    ,93.008278                    ,93.173565                    ,93.338852                    ,93.504139                    ,93.669426                    ,93.834713                    ,94.0                    ,96.9                    ,99.8                    ,99.8                    ,99.8                    
ARM,Armenia,98.0                    ,98.0                    ,98.0                    ,98.0                    ,98.0                    ,98.0                    ,98.18                    ,98.36                    ,98.54                    ,98.72                    ,98.9                    ,99.08                    ,99.26                    ,99.44                    ,99.62                    ,99.8                    ,99.9                    ,100.0                    ,100.0                    ,100.0                    
AUS,Australia,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    
AUT,Austria,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    
AZE,Azerbaijan,95.95585                    ,95.95585                    ,95.95585                    ,95.95585                    ,95.95585                    ,95.95585                    ,96.310265                    ,96.66468                    ,97.019095                    ,97.37351                    ,97.727925                    ,98.08234                    ,98.436755                    ,98.79117                    ,99.145585                    ,99.5                    ,99.75                    ,100.0                    ,100.0                    ,100.0                    
BHS,Bahamas,96.1                    ,96.1                    ,96.1                    ,96.1                    ,96.1                    ,96.1                    ,96.49                    ,96.88                    ,97.27                    ,97.66                    ,98.05                    ,98.44                    ,98.83                    ,99.22                    ,99.61                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    ,100.0                    
