ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,,,,,,37.45584,,,,,,,,,,41,,43,,
ALB,Albania,,,,,,100,,,,,,,,,,100,,100,,
DZA,Algeria,,,,,,98,,,,,,,,,,99.3,,100,,
AND,Andorra,,,,,,100,,,,,,,,,,100,,100,,
AGO,Angola,,,,,,31.05585,,,,,,,,,,34.6,,37,,
ATG,Antigua and Barbuda,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,
ARG,Argentina,,,,,,92.34713,,,,,,,,,,94,,99.8,,
ARM,Armenia,,,,,,98,,,,,,,,,,99.8,,100,,
AUS,Australia,,,,,,100,,,,,,,,,,100,,100,,
AUT,Austria,,,,,,100,,,,,,,,,,100,,100,,
AZE,Azerbaijan,,,,,,95.95585,,,,,,,,,,99.5,,100,,
BHS,Bahamas,,,,,,96.1,,,,,,,,,,100,,100,,
BHR,Bahrain,,,,,,90.89918,,,,,,,,,,94.1,,97.69783,,
BGD,Bangladesh,,,,,,32,,,,,,,,,,55.2,,59.6,,
BRB,Barbados,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,
BLR,Belarus,,,,,,100,,,,,,,,,,100,,100,,
BEL,Belgium,,,,,,100,,,,,,,,,,100,,100,,
BLZ,Belize,,,,,,95.16103,,,,,,,,,,99.3,,100,,
BEN,Benin,,,,,,25.4,,,,,,,,,,27.9,,38.4,,
BTN,Bhutan,,,,,,68.45585,,,,,,,,,,72,,75.56256,,
BOL,"Bolivia, Plurinational State of",,,,,,66,,,,,,,,,,80.2,,90.5,,
BIH,Bosnia and Herzegovina,,,,,,98.5,,,,,,,,,,99.7,,100,,
BWA,Botswana,,,,,,39.55584,,,,,,,,,,43.1,,53.24,,
BRA,Brazil,,,,,,97.4,,,,,,,,,,98,,99.5,,
BRN,Brunei Darussalam,,,,,,69.36274,,,,,,,,,,72.6,,76.16138,,
BGR,Bulgaria,,,,,,100,,,,,,,,,,100,,100,,
BFA,Burkina Faso,,,,,,6.9,,,,,,,,,,13.1,,13.1,,
BDI,Burundi,,,,,,3.9,,,,,,,,,,5.3,,6.5,,
KHM,Cambodia,,,,,,16.6,,,,,,,,,,31.1,,31.1,,
CMR,Cameroon,,,,,,46.2,,,,,,,,,,49,,53.7,,
CAN,Canada,,,,,,100,,,,,,,,,,100,,100,,
CPV,Cabo Verde,,,,,,58.6,,,,,,,,,,67,,70.56256,,
CAF,Central African Republic,,,,,,6,,,,,,,,,,9.5,,10.8,,
TCD,Chad,,,,,,2.3,,,,,,,,,,3.5,,6.4,,
CHL,Chile,,,,,,98.8,,,,,,,,,,99,,99.6,,
CHN,China,,,,,,98,,,,,,,,,,99.7,,100,,
COL,Colombia,,,,,,97,,,,,,,,,,96.7,,97,,
COM,Comoros,,,,,,44.8,,,,,,,,,,51.5,,69.3,,
COG,Congo,,,,,,20.9,,,,,,,,,,37.1,,41.6,,
COD,"Congo, the Democratic Republic of the",,,,,,6.7,,,,,,,,,,15.2,,16.4,,
CRI,Costa Rica,,,,,,98,,,,,,,,,,98,,99.5,,
CIV,Cote d'Ivoire,,,,,,51.4,,,,,,,,,,58.9,,55.8,,
HRV,Croatia,,,,,,100,,,,,,,,,,100,,100,,
CUB,Cuba,,,,,,97,,,,,,,,,,100,,100,,
CYP,Cyprus,,,,,,100,,,,,,,,,,100,,100,,
CZE,Czech Republic,,,,,,100,,,,,,,,,,100,,100,,
DNK,Denmark,,,,,,100,,,,,,,,,,100,,100,,
DJI,Djibouti,,,,,,46.15585,,,,,,,,,,49.7,,53.26256,,
DMA,Dominica,,,,,,87.7,,,,,,,,,,91.83897,,92.66676,,
DOM,Dominican Republic,,,,,,90,,,,,,,,,,98,,98,,
ECU,Ecuador,,,,,,94,,,,,,,,,,97,,97.2,,
EGY,Egypt,,,,,,97.7,,,,,,,,,,99.6,,100,,
SLV,El Salvador,,,,,,87,,,,,,,,,,92,,93.7,,
GNQ,Equatorial Guinea,,,,,,61.03323,,,,,,,,,,65.1722,,66,,
ERI,Eritrea,,,,,,32.2,,,,,,,,,,32.5,,36.0768,,
EST,Estonia,,,,,,100,,,,,,,,,,100,,100,,
ETH,Ethiopia,,,,,,12.7,,,,,,,,,,23,,26.56256,,
FJI,Fiji,,,,,,52.53027,,,,,,,,,,55.8,,59.32891,,
FIN,Finland,,,,,,100,,,,,,,,,,100,,100,,
FRA,France,,,,,,100,,,,,,,,,,100,,100,,
GAB,Gabon,,,,,,73.6,,,,,,,,,,81.6,,89.3,,
GMB,Gambia,,,,,,34.3,,,,,,,,,,31,,34.5268,,
GEO,Georgia,,,,,,99.9,,,,,,,,,,100,,100,,
DEU,Germany,,,,,,100,,,,,,,,,,100,,100,,
GHA,Ghana,,,,,,45,,,,,,,,,,60.5,,64.06256,,
GRC,Greece,,,,,,100,,,,,,,,,,100,,100,,
GRD,Grenada,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,
GTM,Guatemala,,,,,,78,,,,,,,,,,78.3,,78.5,,
GIN,Guinea,,,,,,16.4,,,,,,,,,,20.2,,26.2,,
GNB,Guinea-Bissau,,,,,,53.5,,,,,,,,,,57,,60.60672,,
GUY,Guyana,,,,,,74.5,,,,,,,,,,77,,79.46677,,
HTI,Haiti,,,,,,31.4,,,,,,,,,,33.9,,37.9,,
HND,Honduras,,,,,,67,,,,,,,,,,80,,82.2,,
HUN,Hungary,,,,,,100,,,,,,,,,,100,,100,,
ISL,Iceland,,,,,,100,,,,,,,,,,100,,100,,
IND,India,,,,,,62.3,,,,,,,,,,75,,78.7,,
IDN,Indonesia,,,,,,87.6,,,,,,,,,,94.2,,96,,
IRN,"Iran, Islamic Republic of",,,,,,97.9,,,,,,,,,,98.4,,100,,
IRQ,Iraq,,,,,,94.45585,,,,,,,,,,98,,100,,
